1150	med	med	4	4	big	med	acc
735	high	med	5more	2	big	low	unacc
86	vhigh	vhigh	5more	2	med	high	unacc
3	vhigh	vhigh	2	2	med	low	unacc
1329	low	vhigh	3	2	big	low	unacc
586	high	high	3	more	small	med	unacc
159	vhigh	high	3	more	big	low	unacc
249	vhigh	med	3	2	big	low	unacc
1431	low	high	3	2	small	low	unacc
375	vhigh	low	3	more	big	low	unacc
1432	low	high	3	2	small	med	unacc
1057	med	high	5more	2	med	med	unacc
366	vhigh	low	3	4	big	low	unacc
196	vhigh	high	5more	2	big	med	unacc
146	vhigh	high	3	4	small	high	unacc
1040	med	high	4	4	med	high	acc
1672	low	low	3	more	big	med	good
679	high	med	3	2	med	med	unacc
478	high	vhigh	3	more	small	med	unacc
1723	low	low	5more	more	med	med	good
1515	low	med	2	2	med	low	unacc
1271	med	low	5more	2	small	high	unacc
706	high	med	4	2	med	med	unacc
369	vhigh	low	3	more	small	low	unacc
1511	low	high	5more	more	big	high	vgood
1295	med	low	5more	more	big	high	vgood
322	vhigh	med	5more	more	big	med	acc
533	high	vhigh	5more	more	small	high	unacc
1401	low	vhigh	5more	more	big	low	unacc
1415	low	high	2	4	small	high	acc
1201	med	low	2	4	med	med	acc
886	med	vhigh	2	more	med	med	unacc
425	vhigh	low	5more	more	small	high	acc
141	vhigh	high	3	2	big	low	unacc
1688	low	low	4	4	med	high	vgood
1070	med	high	5more	4	big	high	acc
1702	low	low	5more	2	small	med	unacc
1621	low	low	2	2	small	med	unacc
125	vhigh	high	2	4	big	high	unacc
1217	med	low	3	2	small	high	unacc
573	high	high	3	2	big	low	unacc
1038	med	high	4	4	med	low	unacc
95	vhigh	vhigh	5more	4	med	high	unacc
761	high	low	2	2	med	high	unacc
259	vhigh	med	3	4	big	med	acc
1046	med	high	4	more	small	high	acc
316	vhigh	med	5more	more	small	med	unacc
91	vhigh	vhigh	5more	4	small	med	unacc
590	high	high	3	more	med	high	acc
919	med	vhigh	4	2	small	med	unacc
1260	med	low	4	more	small	low	unacc
1616	low	med	5more	more	med	high	vgood
888	med	vhigh	2	more	big	low	unacc
742	high	med	5more	4	med	med	acc
1689	low	low	4	4	big	low	unacc
1336	low	vhigh	3	4	med	med	unacc
1241	med	low	3	more	big	high	vgood
1004	med	high	3	2	med	high	unacc
48	vhigh	vhigh	3	more	med	low	unacc
589	high	high	3	more	med	med	acc
103	vhigh	vhigh	5more	more	med	med	unacc
168	vhigh	high	4	2	big	low	unacc
930	med	vhigh	4	4	med	low	unacc
1562	low	med	3	more	med	high	vgood
1614	low	med	5more	more	med	low	unacc
1661	low	low	3	4	med	high	good
827	high	low	4	4	big	high	acc
1266	med	low	4	more	big	low	unacc
127	vhigh	high	2	more	small	med	unacc
715	high	med	4	4	med	med	acc
724	high	med	4	more	med	med	acc
1627	low	low	2	2	big	med	unacc
1129	med	med	3	more	med	med	acc
1522	low	med	2	4	small	med	acc
382	vhigh	low	4	2	med	med	unacc
691	high	med	3	4	big	med	acc
74	vhigh	vhigh	4	more	small	high	unacc
673	high	med	2	more	big	med	acc
616	high	high	4	more	med	med	acc
1122	med	med	3	4	big	low	unacc
1622	low	low	2	2	small	high	unacc
311	vhigh	med	5more	4	med	high	acc
507	high	vhigh	4	more	med	low	unacc
1692	low	low	4	more	small	low	unacc
1092	med	med	2	4	med	low	unacc
1318	low	vhigh	2	more	med	med	unacc
162	vhigh	high	4	2	small	low	unacc
233	vhigh	med	2	4	big	high	acc
1010	med	high	3	4	small	high	acc
728	high	med	4	more	big	high	acc
965	med	vhigh	5more	more	small	high	acc
620	high	high	4	more	big	high	acc
865	med	vhigh	2	2	small	med	unacc
1055	med	high	5more	2	small	high	unacc
693	high	med	3	more	small	low	unacc
253	vhigh	med	3	4	small	med	unacc
1340	low	vhigh	3	4	big	high	acc
1421	low	high	2	4	big	high	vgood
910	med	vhigh	3	more	small	med	unacc
749	high	med	5more	more	small	high	acc
1188	med	low	2	2	small	low	unacc
942	med	vhigh	4	more	big	low	unacc
1726	low	low	5more	more	big	med	good
6	vhigh	vhigh	2	2	big	low	unacc
1425	low	high	2	more	med	low	unacc
713	high	med	4	4	small	high	acc
255	vhigh	med	3	4	med	low	unacc
1194	med	low	2	2	big	low	unacc
92	vhigh	vhigh	5more	4	small	high	unacc
1617	low	med	5more	more	big	low	unacc
970	med	vhigh	5more	more	big	med	acc
123	vhigh	high	2	4	big	low	unacc
816	high	low	4	2	big	low	unacc
1606	low	med	5more	4	med	med	good
649	high	med	2	2	small	med	unacc
1072	med	high	5more	more	small	med	unacc
373	vhigh	low	3	more	med	med	acc
352	vhigh	low	3	2	small	med	unacc
902	med	vhigh	3	4	small	high	acc
1524	low	med	2	4	med	low	unacc
597	high	high	4	2	med	low	unacc
273	vhigh	med	4	2	med	low	unacc
46	vhigh	vhigh	3	more	small	med	unacc
171	vhigh	high	4	4	small	low	unacc
492	high	vhigh	4	2	big	low	unacc
1594	low	med	5more	2	small	med	unacc
1164	med	med	5more	2	med	low	unacc
1132	med	med	3	more	big	med	acc
398	vhigh	low	4	more	small	high	acc
1240	med	low	3	more	big	med	good
1518	low	med	2	2	big	low	unacc
323	vhigh	med	5more	more	big	high	acc
1496	low	high	5more	4	small	high	acc
778	high	low	2	more	med	med	unacc
445	high	vhigh	2	4	med	med	unacc
595	high	high	4	2	small	med	unacc
1451	low	high	3	more	small	high	acc
185	vhigh	high	4	more	med	high	unacc
940	med	vhigh	4	more	med	med	acc
1715	low	low	5more	4	med	high	vgood
869	med	vhigh	2	2	med	high	unacc
1211	med	low	2	more	med	high	good
1670	low	low	3	more	med	high	vgood
666	high	med	2	more	small	low	unacc
1669	low	low	3	more	med	med	good
155	vhigh	high	3	more	small	high	unacc
1096	med	med	2	4	big	med	acc
1443	low	high	3	4	med	low	unacc
5	vhigh	vhigh	2	2	med	high	unacc
993	med	high	2	more	med	low	unacc
922	med	vhigh	4	2	med	med	unacc
35	vhigh	vhigh	3	2	big	high	unacc
350	vhigh	low	2	more	big	high	acc
441	high	vhigh	2	4	small	low	unacc
980	med	high	2	2	big	high	unacc
771	high	low	2	4	big	low	unacc
660	high	med	2	4	med	low	unacc
1118	med	med	3	4	small	high	acc
389	vhigh	low	4	4	small	high	acc
383	vhigh	low	4	2	med	high	unacc
818	high	low	4	2	big	high	unacc
1446	low	high	3	4	big	low	unacc
1420	low	high	2	4	big	med	acc
1294	med	low	5more	more	big	med	good
644	high	high	5more	more	med	high	acc
1416	low	high	2	4	med	low	unacc
606	high	high	4	4	med	low	unacc
23	vhigh	vhigh	2	more	med	high	unacc
1544	low	med	3	2	med	high	unacc
853	high	low	5more	4	big	med	acc
1245	med	low	4	2	med	low	unacc
24	vhigh	vhigh	2	more	big	low	unacc
1423	low	high	2	more	small	med	unacc
151	vhigh	high	3	4	big	med	unacc
517	high	vhigh	5more	2	med	med	unacc
1707	low	low	5more	2	big	low	unacc
1713	low	low	5more	4	med	low	unacc
1385	low	vhigh	5more	2	big	high	unacc
1259	med	low	4	4	big	high	vgood
294	vhigh	med	4	more	big	low	unacc
302	vhigh	med	5more	2	med	high	unacc
687	high	med	3	4	med	low	unacc
1358	low	vhigh	4	2	big	high	unacc
84	vhigh	vhigh	5more	2	med	low	unacc
1478	low	high	4	more	small	high	acc
1418	low	high	2	4	med	high	acc
1117	med	med	3	4	small	med	acc
526	high	vhigh	5more	4	med	med	unacc
1620	low	low	2	2	small	low	unacc
1365	low	vhigh	4	4	big	low	unacc
1615	low	med	5more	more	med	med	good
1153	med	med	4	more	small	med	acc
169	vhigh	high	4	2	big	med	unacc
499	high	vhigh	4	4	med	med	unacc
1280	med	low	5more	4	small	high	good
118	vhigh	high	2	4	small	med	unacc
1519	low	med	2	2	big	med	unacc
1257	med	low	4	4	big	low	unacc
237	vhigh	med	2	more	med	low	unacc
1170	med	med	5more	4	small	low	unacc
1724	low	low	5more	more	med	high	vgood
795	high	low	3	4	med	low	unacc
418	vhigh	low	5more	4	med	med	acc
613	high	high	4	more	small	med	unacc
1682	low	low	4	2	big	high	unacc
378	vhigh	low	4	2	small	low	unacc
1218	med	low	3	2	med	low	unacc
854	high	low	5more	4	big	high	acc
708	high	med	4	2	big	low	unacc
1690	low	low	4	4	big	med	good
577	high	high	3	4	small	med	unacc
1506	low	high	5more	more	med	low	unacc
641	high	high	5more	more	small	high	acc
639	high	high	5more	more	small	low	unacc
913	med	vhigh	3	more	med	med	acc
939	med	vhigh	4	more	med	low	unacc
797	high	low	3	4	med	high	acc
547	high	high	2	2	big	med	unacc
1215	med	low	3	2	small	low	unacc
321	vhigh	med	5more	more	big	low	unacc
1500	low	high	5more	4	big	low	unacc
1048	med	high	4	more	med	med	acc
1517	low	med	2	2	med	high	unacc
17	vhigh	vhigh	2	4	big	high	unacc
1461	low	high	4	2	med	low	unacc
682	high	med	3	2	big	med	unacc
583	high	high	3	4	big	med	acc
234	vhigh	med	2	more	small	low	unacc
998	med	high	2	more	big	high	acc
1477	low	high	4	more	small	med	acc
1267	med	low	4	more	big	med	good
1483	low	high	4	more	big	med	acc
1331	low	vhigh	3	2	big	high	unacc
987	med	high	2	4	big	low	unacc
252	vhigh	med	3	4	small	low	unacc
304	vhigh	med	5more	2	big	med	unacc
109	vhigh	high	2	2	small	med	unacc
1411	low	high	2	2	big	med	unacc
147	vhigh	high	3	4	med	low	unacc
278	vhigh	med	4	2	big	high	unacc
90	vhigh	vhigh	5more	4	small	low	unacc
943	med	vhigh	4	more	big	med	acc
353	vhigh	low	3	2	small	high	unacc
1575	low	med	4	4	small	low	unacc
145	vhigh	high	3	4	small	med	unacc
738	high	med	5more	4	small	low	unacc
1133	med	med	3	more	big	high	vgood
239	vhigh	med	2	more	med	high	acc
820	high	low	4	4	small	med	unacc
1371	low	vhigh	4	more	med	low	unacc
1269	med	low	5more	2	small	low	unacc
594	high	high	4	2	small	low	unacc
176	vhigh	high	4	4	med	high	unacc
56	vhigh	vhigh	4	2	small	high	unacc
300	vhigh	med	5more	2	med	low	unacc
914	med	vhigh	3	more	med	high	acc
1593	low	med	5more	2	small	low	unacc
1059	med	high	5more	2	big	low	unacc
1335	low	vhigh	3	4	med	low	unacc
53	vhigh	vhigh	3	more	big	high	unacc
77	vhigh	vhigh	4	more	med	high	unacc
439	high	vhigh	2	2	big	med	unacc
787	high	low	3	2	med	med	unacc
1531	low	med	2	more	small	med	unacc
1031	med	high	4	2	med	high	unacc
37	vhigh	vhigh	3	4	small	med	unacc
792	high	low	3	4	small	low	unacc
1353	low	vhigh	4	2	med	low	unacc
133	vhigh	high	2	more	big	med	unacc
1250	med	low	4	2	big	high	unacc
496	high	vhigh	4	4	small	med	unacc
1372	low	vhigh	4	more	med	med	acc
117	vhigh	high	2	4	small	low	unacc
495	high	vhigh	4	4	small	low	unacc
615	high	high	4	more	med	low	unacc
1376	low	vhigh	4	more	big	high	acc
1480	low	high	4	more	med	med	acc
1419	low	high	2	4	big	low	unacc
1528	low	med	2	4	big	med	good
971	med	vhigh	5more	more	big	high	acc
1352	low	vhigh	4	2	small	high	unacc
18	vhigh	vhigh	2	more	small	low	unacc
598	high	high	4	2	med	med	unacc
298	vhigh	med	5more	2	small	med	unacc
581	high	high	3	4	med	high	acc
1177	med	med	5more	4	big	med	acc
287	vhigh	med	4	4	big	high	acc
1349	low	vhigh	3	more	big	high	acc
648	high	med	2	2	small	low	unacc
634	high	high	5more	4	med	med	acc
638	high	high	5more	4	big	high	acc
1407	low	high	2	2	med	low	unacc
882	med	vhigh	2	more	small	low	unacc
78	vhigh	vhigh	4	more	big	low	unacc
543	high	high	2	2	med	low	unacc
855	high	low	5more	more	small	low	unacc
180	vhigh	high	4	more	small	low	unacc
712	high	med	4	4	small	med	unacc
1348	low	vhigh	3	more	big	med	acc
521	high	vhigh	5more	2	big	high	unacc
1470	low	high	4	4	med	low	unacc
364	vhigh	low	3	4	med	med	unacc
983	med	high	2	4	small	high	acc
1599	low	med	5more	2	big	low	unacc
96	vhigh	vhigh	5more	4	big	low	unacc
945	med	vhigh	5more	2	small	low	unacc
1603	low	med	5more	4	small	med	acc
962	med	vhigh	5more	4	big	high	acc
1014	med	high	3	4	big	low	unacc
548	high	high	2	2	big	high	unacc
480	high	vhigh	3	more	med	low	unacc
981	med	high	2	4	small	low	unacc
19	vhigh	vhigh	2	more	small	med	unacc
1718	low	low	5more	4	big	high	vgood
909	med	vhigh	3	more	small	low	unacc
951	med	vhigh	5more	2	big	low	unacc
544	high	high	2	2	med	med	unacc
214	vhigh	high	5more	more	big	med	unacc
835	high	low	4	more	big	med	acc
760	high	low	2	2	med	med	unacc
1354	low	vhigh	4	2	med	med	unacc
912	med	vhigh	3	more	med	low	unacc
920	med	vhigh	4	2	small	high	unacc
1652	low	low	3	2	med	high	unacc
591	high	high	3	more	big	low	unacc
1386	low	vhigh	5more	4	small	low	unacc
1168	med	med	5more	2	big	med	unacc
1512	low	med	2	2	small	low	unacc
503	high	vhigh	4	4	big	high	unacc
1711	low	low	5more	4	small	med	acc
1685	low	low	4	4	small	high	good
958	med	vhigh	5more	4	med	med	acc
584	high	high	3	4	big	high	acc
1701	low	low	5more	2	small	low	unacc
812	high	low	4	2	small	high	unacc
467	high	vhigh	3	2	big	high	unacc
272	vhigh	med	4	2	small	high	unacc
984	med	high	2	4	med	low	unacc
614	high	high	4	more	small	high	acc
1007	med	high	3	2	big	high	unacc
1161	med	med	5more	2	small	low	unacc
1199	med	low	2	4	small	high	good
807	high	low	3	more	big	low	unacc
80	vhigh	vhigh	4	more	big	high	unacc
134	vhigh	high	2	more	big	high	unacc
852	high	low	5more	4	big	low	unacc
